epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.26752,1.11947,3.39197,1.02526,0.01136,0.86893,0.1065,0.07052,0.90879,3.5424,0.86142,0.0003125,0.0003125,0.0003125
2,15.4076,1.04485,1.83265,0.9698,0.90347,0.20792,0.74215,0.49037,1.00282,2.82341,0.93663,0.000631189,0.000631189,0.000631189
3,22.341,1.01471,1.28688,0.97995,1,0.43164,0.87415,0.60872,1.03898,2.2365,0.95588,0.000943443,0.000943443,0.000943443
4,29.3176,0.9342,1.12499,0.95529,0.97313,0.76794,0.93491,0.63378,1.14155,1.47937,0.99141,0.00121287,0.00121287,0.00121287
5,35.8219,0.94495,1.08109,0.96446,0.91943,0.88878,0.9291,0.63706,0.9941,1.00578,0.97557,0.0012005,0.0012005,0.0012005
6,42.4358,0.85399,1.00029,0.94705,0.83499,0.90204,0.91959,0.73937,0.71895,0.94604,0.87532,0.00118812,0.00118812,0.00118812
7,49.498,0.87648,0.96273,0.9583,0.9301,0.80588,0.91302,0.74208,0.69446,0.81335,0.87353,0.00117575,0.00117575,0.00117575
8,56.0857,0.90868,0.91446,0.95094,0.88233,0.8526,0.90398,0.71647,0.78408,0.82144,0.88197,0.00116337,0.00116337,0.00116337
9,62.5878,0.83276,0.87128,0.94726,0.94131,0.8694,0.92972,0.74799,0.75714,0.81252,0.86998,0.001151,0.001151,0.001151
10,69.1149,0.81512,0.83099,0.92523,0.9427,0.86663,0.93434,0.76777,0.62898,0.69418,0.86244,0.00113863,0.00113863,0.00113863
11,75.6738,0.78138,0.7887,0.92094,0.97044,0.92318,0.97009,0.77736,0.74125,0.63418,0.85823,0.00112625,0.00112625,0.00112625
12,82.2401,0.75702,0.76012,0.91389,0.97653,0.93908,0.97203,0.79927,0.64179,0.61941,0.85003,0.00111388,0.00111388,0.00111388
13,88.823,0.74881,0.75113,0.92104,0.97839,0.9416,0.97341,0.78393,0.65962,0.57714,0.85149,0.0011015,0.0011015,0.0011015
14,95.4134,0.74177,0.74192,0.909,0.96681,0.94244,0.9673,0.8069,0.60507,0.61663,0.84079,0.00108913,0.00108913,0.00108913
15,101.75,0.76311,0.70893,0.91504,0.99217,0.95523,0.96815,0.82276,0.55452,0.53227,0.83026,0.00107675,0.00107675,0.00107675
